epoch,accuracy,loss,val_accuracy,val_loss
0,0.27966102957725525,2.813096761703491,0.6165540814399719,1.2430778741836548
1,0.40625,2.458528518676758,0.5945945978164673,1.3346964120864868
2,0.3298807144165039,2.5085554122924805,0.5016891956329346,1.6244384050369263
3,0.34375,2.343837022781372,0.5337837934494019,1.5108871459960938
4,0.3411801755428314,2.3442838191986084,0.4949324429035187,1.743051528930664
5,0.21875,2.1884517669677734,0.4864864945411682,1.7376002073287964
0,0.32799747586250305,2.5000617504119873,0.537162184715271,1.6436580419540405
1,0.3125,2.709841012954712,0.5354729890823364,1.5464953184127808
2,0.3477714955806732,2.361210346221924,0.4949324429035187,1.759905219078064
3,0.34375,2.808811902999878,0.4695945978164673,1.795588731765747
0,0.31701192259788513,2.5294647216796875,0.5016891956329346,1.683921456336975
1,0.21875,3.0564255714416504,0.5185810923576355,1.5836546421051025
2,0.34902700781822205,2.2973732948303223,0.5016891956329346,1.733720064163208
3,0.4375,2.036876678466797,0.4932432472705841,1.747435450553894
4,0.3713119924068451,2.155371904373169,0.5050675868988037,1.5798187255859375
5,0.40625,2.6005563735961914,0.5050675868988037,1.5785115957260132
6,0.40175768733024597,2.0569097995758057,0.4949324429035187,1.6124159097671509
7,0.40625,1.7042793035507202,0.5304054021835327,1.5779647827148438
8,0.3888888955116272,2.014688014984131,0.5185810923576355,1.5143084526062012
9,0.4375,1.7984493970870972,0.5574324131011963,1.487337350845337
10,0.43220338225364685,1.8843930959701538,0.5506756901741028,1.533812165260315
11,0.40625,1.6726231575012207,0.5489864945411682,1.4759212732315063
12,0.4406779706478119,1.8349809646606445,0.5523648858070374,1.427103877067566
13,0.375,1.951461672782898,0.5692567825317383,1.3936147689819336
14,0.45637163519859314,1.7930673360824585,0.5777027010917664,1.3826184272766113
15,0.625,1.3206169605255127,0.6064189076423645,1.289209008216858
16,0.4576271176338196,1.75661039352417,0.6233108043670654,1.250890851020813
17,0.375,1.840101718902588,0.5929054021835327,1.2988322973251343
18,0.4661017060279846,1.721009612083435,0.5979729890823364,1.2667957544326782
19,0.53125,1.416728138923645,0.599662184715271,1.3177692890167236
20,0.47080978751182556,1.69222891330719,0.6351351141929626,1.2007906436920166
21,0.4375,1.5471107959747314,0.5979729890823364,1.2591801881790161
22,0.48022598028182983,1.6596802473068237,0.6266891956329346,1.2408801317214966
23,0.625,1.0977427959442139,0.6216216087341309,1.2496451139450073
24,0.4902699291706085,1.6231825351715088,0.6300675868988037,1.1748111248016357
25,0.40625,1.625239372253418,0.6283783912658691,1.2076865434646606
26,0.49811676144599915,1.6136996746063232,0.6570945978164673,1.133056402206421
27,0.46875,1.6669877767562866,0.6452702879905701,1.1831607818603516
28,0.4902699291706085,1.5791763067245483,0.625,1.1700257062911987
29,0.46875,1.6559171676635742,0.6300675868988037,1.1968014240264893
30,0.4959196448326111,1.5691603422164917,0.6570945978164673,1.1719967126846313
31,0.5625,1.2459831237792969,0.6875,1.0576770305633545
32,0.513810396194458,1.5329535007476807,0.6689189076423645,1.0857101678848267
33,0.46875,1.4939275979995728,0.650337815284729,1.1117126941680908
34,0.5235404968261719,1.5162311792373657,0.6959459185600281,1.062713384628296
35,0.46875,1.6121273040771484,0.6689189076423645,1.0862751007080078
36,0.5141242742538452,1.5286272764205933,0.6638513803482056,1.0408142805099487
37,0.59375,1.5189218521118164,0.6537162065505981,1.1295406818389893
38,0.519460141658783,1.4997522830963135,0.6706081032752991,1.0619864463806152
39,0.53125,1.6956417560577393,0.6824324131011963,1.0218881368637085
40,0.5362499952316284,1.4681462049484253,0.6976351141929626,1.019646406173706
41,0.5,1.2310326099395752,0.6891891956329346,1.0204001665115356
42,0.5251098275184631,1.4762169122695923,0.6875,1.0371180772781372
43,0.5,1.4633691310882568,0.6520270109176636,1.1568207740783691
44,0.5426867604255676,1.4519355297088623,0.6993243098258972,1.0052155256271362
45,0.5625,1.2842854261398315,0.6908783912658691,1.0546846389770508
46,0.5367231369018555,1.4462262392044067,0.6858108043670654,1.0744388103485107
47,0.5625,1.2713319063186646,0.6824324131011963,1.0699585676193237
48,0.5536723136901855,1.4086387157440186,0.6942567825317383,1.0383954048156738
49,0.59375,1.367568850517273,0.6942567825317383,1.071798324584961
50,0.5489642024040222,1.4301882982254028,0.7111486196517944,0.9759333729743958
51,0.59375,1.4143637418746948,0.6976351141929626,1.0201060771942139
52,0.5495919585227966,1.3767143487930298,0.6841216087341309,1.0314496755599976
53,0.53125,1.450710415840149,0.7111486196517944,0.9985337257385254
54,0.5718769431114197,1.365239143371582,0.7060810923576355,0.9759911298751831
55,0.4375,1.5599336624145508,0.6976351141929626,1.0168650150299072
56,0.568110466003418,1.3439090251922607,0.6875,1.0266600847244263
57,0.5625,1.472808599472046,0.7314189076423645,0.9556968212127686
58,0.5715630650520325,1.350251317024231,0.7314189076423645,0.9264373779296875
59,0.5625,1.581389307975769,0.7077702879905701,0.9862403869628906
